pos_x_center,pos_y_center,pos_x_upper,pos_y_upper,pos_x_lower,pos_y_lower,pos_seg_num
-9.192374,5.586088,-8.289599,15.706911,-10.095149,-4.534736,1.000000
-9.142312,5.566848,-8.236803,15.686217,-10.047822,-4.552521,1.000000
-9.092251,5.547498,-8.184007,15.665404,-10.000494,-4.570408,1.000000
-9.042189,5.528036,-8.131212,15.644470,-9.953167,-4.588398,1.000000
-8.992128,5.508464,-8.078416,15.623418,-9.905840,-4.606490,1.000000
-8.942066,5.488782,-8.025620,15.602247,-9.858513,-4.624683,1.000000
-8.892005,5.468989,-7.972824,15.580957,-9.811186,-4.642978,1.000000
-8.841943,5.449087,-7.920028,15.559549,-9.763858,-4.661374,1.000000
-8.791882,5.429076,-7.867233,15.538023,-9.716531,-4.679870,1.000000
-8.741820,5.408956,-7.814437,15.516380,-9.669204,-4.698467,1.000000
-8.691759,5.388728,-7.761641,15.494619,-9.621877,-4.717164,1.000000
-8.641697,5.368391,-7.708845,15.472742,-9.574549,-4.735961,1.000000
-8.591636,5.347946,-7.656050,15.450749,-9.527222,-4.754857,1.000000
-8.541574,5.327393,-7.603254,15.428639,-9.479895,-4.773852,1.000000
-8.491513,5.306734,-7.550458,15.406414,-9.432568,-4.792946,1.000000
-8.441451,5.285967,-7.497662,15.384074,-9.385241,-4.812139,1.000000
-8.391390,5.265094,-7.444866,15.361618,-9.337913,-4.831430,1.000000
-8.341328,5.244115,-7.392071,15.339048,-9.290586,-4.850819,1.000000
-8.291267,5.223030,-7.339275,15.316364,-9.243259,-4.870305,1.000000
-8.241205,5.201839,-7.286479,15.293567,-9.195932,-4.889889,1.000000
-8.191144,5.180543,-7.233683,15.270655,-9.148605,-4.909570,1.000000
-8.141082,5.159142,-7.180888,15.247631,-9.101277,-4.929347,1.000000
-8.091021,5.137636,-7.128092,15.224494,-9.053950,-4.949221,1.000000
-8.040959,5.116027,-7.075296,15.201245,-9.006623,-4.969191,1.000000
-7.990898,5.094313,-7.022500,15.177883,-8.959296,-4.989257,1.000000
-7.940836,5.072496,-6.969704,15.154410,-8.911968,-5.009418,1.000000
-7.890775,5.050576,-6.916909,15.130826,-8.864641,-5.029674,1.000000
-7.840713,5.028553,-6.864113,15.107130,-8.817314,-5.050025,1.000000
-7.790652,5.006427,-6.811317,15.083325,-8.769987,-5.070471,1.000000
-7.740590,4.984199,-6.758521,15.059409,-8.722660,-5.091010,1.000000
-7.690529,4.961869,-6.705725,15.035383,-8.675332,-5.111644,1.000000
-7.640467,4.939438,-6.652930,15.011248,-8.628005,-5.132371,1.000000
-7.590406,4.916906,-6.600134,14.987004,-8.580678,-5.153192,1.000000
-7.540344,4.894272,-6.547338,14.962651,-8.533351,-5.174106,1.000000
-7.490283,4.871539,-6.494542,14.938189,-8.486023,-5.195112,1.000000
-7.440221,4.848705,-6.441747,14.913620,-8.438696,-5.216211,1.000000
-7.390160,4.825771,-6.388951,14.888943,-8.391369,-5.237401,1.000000
-7.340098,4.802737,-6.336155,14.864159,-8.344042,-5.258684,1.000000
-7.290037,4.779605,-6.283359,14.839268,-8.296715,-5.280058,1.000000
-7.239975,4.756374,-6.230563,14.814270,-8.249387,-5.301523,1.000000
-7.189914,4.733044,-6.177768,14.789166,-8.202060,-5.323079,1.000000
-7.139852,4.709616,-6.124972,14.763956,-8.154733,-5.344725,1.000000
-7.089791,4.686090,-6.072176,14.738641,-8.107406,-5.366462,1.000000
-7.039729,4.662466,-6.019380,14.713221,-8.060078,-5.388288,1.000000
-6.989668,4.638746,-5.966585,14.687696,-8.012751,-5.410204,1.000000
-6.939606,4.614929,-5.913789,14.662067,-7.965424,-5.432210,1.000000
-6.889545,4.591015,-5.860993,14.636334,-7.918097,-5.454304,1.000000
-6.839483,4.567005,-5.808197,14.610497,-7.870770,-5.476487,1.000000
-6.789422,4.542899,-5.755401,14.584557,-7.823442,-5.498759,1.000000
-6.739360,4.518698,-5.702606,14.558514,-7.776115,-5.521118,1.000000
-6.689299,4.494401,-5.649810,14.532368,-7.728788,-5.543565,1.000000
-6.639237,4.470010,-5.597014,14.506121,-7.681461,-5.566100,1.000000
-6.589176,4.445525,-5.544218,14.479771,-7.634134,-5.588722,1.000000
