seq,time,num_sat,rtk_mode_fix,fix_mode
3,1664906827.1464055,43,True,FIXED_RTK
3,1664906827.1517677,43,True,FIXED_RTK
3,1664906827.228385,43,True,FIXED_RTK
3,1664906827.2769184,43,True,FIXED_RTK
3,1664906827.3854654,43,True,FIXED_RTK
3,1664906827.489732,43,True,FIXED_RTK
3,1664906827.5937831,43,True,FIXED_RTK
3,1664906827.5959644,43,True,FIXED_RTK
3,1664906827.6747134,43,True,FIXED_RTK
3,1664906827.7762995,43,True,FIXED_RTK
3,1664906827.8887184,43,True,FIXED_RTK
3,1664906827.988184,43,True,FIXED_RTK
3,1664906828.0917444,43,True,FIXED_RTK
3,1664906828.0985975,43,True,FIXED_RTK
3,1664906828.1007473,43,True,FIXED_RTK
3,1664906828.232317,43,True,FIXED_RTK
3,1664906828.2806745,43,True,FIXED_RTK
3,1664906828.3905845,43,True,FIXED_RTK
3,1664906828.490946,43,True,FIXED_RTK
3,1664906828.6073396,43,True,FIXED_RTK
3,1664906828.6124625,43,True,FIXED_RTK
3,1664906828.674516,43,True,FIXED_RTK
3,1664906828.7750854,43,True,FIXED_RTK
3,1664906828.8789198,43,True,FIXED_RTK
3,1664906828.9892075,43,True,FIXED_RTK
4,1664906841.117669,43,True,FIXED_RTK
4,1664906841.1179695,43,True,FIXED_RTK
4,1664906841.1616626,43,True,FIXED_RTK
4,1664906841.2514863,43,True,FIXED_RTK
4,1664906841.3320067,43,True,FIXED_RTK
4,1664906841.3995523,43,True,FIXED_RTK
4,1664906841.486869,43,True,FIXED_RTK
4,1664906841.6021643,43,True,FIXED_RTK
4,1664906841.6071146,43,True,FIXED_RTK
4,1664906841.675656,43,True,FIXED_RTK
4,1664906841.7867272,43,True,FIXED_RTK
4,1664906841.8766294,43,True,FIXED_RTK
4,1664906841.9792752,43,True,FIXED_RTK
4,1664906842.1157455,43,True,FIXED_RTK
4,1664906842.117573,43,True,FIXED_RTK
4,1664906842.1242547,43,True,FIXED_RTK
4,1664906842.2348409,43,True,FIXED_RTK
4,1664906842.274553,43,True,FIXED_RTK
4,1664906842.373871,43,True,FIXED_RTK
4,1664906842.4774022,43,True,FIXED_RTK
4,1664906842.6063633,43,True,FIXED_RTK
4,1664906842.6122854,43,True,FIXED_RTK
4,1664906842.675411,43,True,FIXED_RTK
4,1664906842.7742677,43,True,FIXED_RTK
4,1664906842.873993,43,True,FIXED_RTK
4,1664906842.9839609,43,True,FIXED_RTK
4,1664906843.1110387,43,True,FIXED_RTK
4,1664906843.1113563,43,True,FIXED_RTK
4,1664906843.1929688,43,True,FIXED_RTK
4,1664906843.2788665,43,True,FIXED_RTK
4,1664906843.2916315,43,True,FIXED_RTK
4,1664906843.3783755,43,True,FIXED_RTK
4,1664906843.487614,43,True,FIXED_RTK
4,1664906843.6026788,43,True,FIXED_RTK
4,1664906843.607665,43,True,FIXED_RTK
4,1664906843.708415,43,True,FIXED_RTK
4,1664906843.773721,43,True,FIXED_RTK
4,1664906843.8696191,43,True,FIXED_RTK
4,1664906843.9824896,43,True,FIXED_RTK
5,1664906859.0039399,43,True,FIXED_RTK
5,1664906859.0229752,43,True,FIXED_RTK
5,1664906859.0646992,43,True,FIXED_RTK
5,1664906859.1554065,43,True,FIXED_RTK
5,1664906859.2431278,43,True,FIXED_RTK
5,1664906859.2901714,43,True,FIXED_RTK
5,1664906859.3788204,43,True,FIXED_RTK
5,1664906859.5117779,43,True,FIXED_RTK
5,1664906859.5378683,43,True,FIXED_RTK
5,1664906859.5803983,43,True,FIXED_RTK
5,1664906859.687019,43,True,FIXED_RTK
5,1664906859.793351,43,True,FIXED_RTK
5,1664906859.8833523,43,True,FIXED_RTK
5,1664906860.0020404,43,True,FIXED_RTK
5,1664906860.0262141,43,True,FIXED_RTK
5,1664906860.0849457,43,True,FIXED_RTK
5,1664906860.0864143,43,True,FIXED_RTK
5,1664906860.2349398,43,True,FIXED_RTK
5,1664906860.2750711,43,True,FIXED_RTK
5,1664906860.3835092,43,True,FIXED_RTK
5,1664906860.50125,43,True,FIXED_RTK
5,1664906860.5228627,43,True,FIXED_RTK
5,1664906860.5803857,43,True,FIXED_RTK
5,1664906860.679139,43,True,FIXED_RTK
5,1664906860.785176,43,True,FIXED_RTK
5,1664906860.8869338,43,True,FIXED_RTK
5,1664906860.999873,43,True,FIXED_RTK
5,1664906861.0183425,43,True,FIXED_RTK
5,1664906861.1048615,43,True,FIXED_RTK
5,1664906861.1536877,43,True,FIXED_RTK
5,1664906861.2419903,43,True,FIXED_RTK
5,1664906861.2889974,43,True,FIXED_RTK
5,1664906861.3806522,43,True,FIXED_RTK
5,1664906861.5008097,43,True,FIXED_RTK
5,1664906861.5206745,43,True,FIXED_RTK
5,1664906861.5812075,43,True,FIXED_RTK
5,1664906861.679546,43,True,FIXED_RTK
5,1664906861.7835343,43,True,FIXED_RTK
5,1664906861.8988066,43,True,FIXED_RTK
